Hours Brighton,Tidal Stream direction (degrees)Br,Tidal Rate at Spring Tides (knots)Br,Tidal Rate at Neap Tides (knots)Br,Tidal Stream direction (degrees)Bh,Tidal Rate at Spring Tides (knots)Bh,Tidal Rate at Neap Tides (knots)Bh
-6,105,0.7,0.4,275,1.0,0.6
-5,100,1.2,0.7,65,0.5,0.3
-4,100,1.3,0.8,100,1.9,1.1
-3,96,1.2,0.7,70,2.6,1.5
-2,92,0.9,0.5,60,2.4,1.4
-1,275,0.4,0.2,70,1.4,0.8
0,250,1,0.5,90,0.2,0.1
1,255,1.2,0.7,275,0.8,0.4
2,257,1.1,0.6,275,1.3,0.7
3,265,0.9,0.5,300,2.0,1.0
4,270,0.8,0.4,255,2.0,1.1
5,270,0.5,0.3,270,1.8,1.0
6,90,0.2,0.4,255,1.3,0.7
